INDEX,LIBMIN,1846-Hab.,1900-Hab.,1947-Hab.,2000-Hab.,2012-Hab.,PMUN15,SURFACE,DENSITE,LAT,LONG
161,Middelkerke,6182,8415,11755,16583,19052,19272,75.65,255,51.18511,2.8207883
162,Saint-Gilles-Waes,9056,11978,13555,17302,18876,19216,54.98,350,51.2199257,4.1242507
163,Morlanwelz,6040,16810,18403,18429,19118,19187,20.26,947,50.44888,4.24026
164,Ranst,5010,6239,10179,17575,18463,19029,43.58,437,51.1889958,4.5609189
165,Quaregnon,7425,19253,21293,19178,18862,18988,11.08,1714,50.4444145,3.8646148
166,Zwijndrecht,3475,9069,13204,17801,18643,18908,17.82,1061,51.2164116,4.3335905
167,Jemeppe-sur-Sambre,7696,13438,14303,17523,18644,18827,46.80,402,50.4630907,4.6786862
168,Diepenbeek,2788,3956,7701,17173,18377,18759,41.19,455,50.91083,5.41336
169,Lebbeke,7199,11230,16272,17234,18397,18711,26.92,695,51.0005702,4.1292201
170,Meise,5959,5761,6896,18347,18418,18643,34.82,529,50.9359353,4.3294598
171,Lessines,17237,21341,20571,17178,18377,18565,72.29,257,50.7123736,3.8288692
172,Walcourt,11064,12075,11434,16840,18193,18511,123.18,150,50.2538574,4.4349218
173,Wervicq,9793,13259,17985,17796,18374,18473,43.61,424,50.7841386,3.0448969
174,Essen,2501,4552,8716,16407,18075,18417,47.48,388,51.46776,4.46844
175,Stabroek,2499,5231,6928,17143,18028,18402,21.51,856,51.3347284,4.3716888
176,Tessenderlo,3267,4055,8020,15819,18107,18348,51.35,357,51.0642666,5.0881938
177,Lede,8172,10443,14341,16949,18030,18255,29.69,615,50.9658595,3.9773738
178,Londerzeel,7715,9348,12881,17153,17869,18249,36.29,503,51.00311,4.3026
179,Kalmthout,2748,4058,8592,17260,18126,18217,59.45,306,51.38298,4.47518
180,Comines-Warneton,10645,16407,18250,17564,17884,18159,61.09,297,50.7367666,2.9040922
181,Kasterlee,4502,4550,7764,17554,18132,18102,71.52,253,51.2405124,4.9674402
182,Rhode-Saint-Genèse,2813,4632,8166,17998,17934,17997,22.77,790,50.74594,4.35753
183,Haaltert,9089,11648,14868,17274,17709,17963,30.30,593,50.90244,4.0056592
184,Destelbergen,5438,7589,10400,17172,17685,17888,26.56,673,51.0609335,3.7977646
185,Stekene,6982,9852,11213,16532,17487,17770,44.80,397,51.2063826,4.040883
186,Fontaine-l'Évêque,5393,13846,16716,16968,17258,17679,28.41,622,50.4166,4.32519
187,Boom,7960,15863,19614,15057,17166,17611,7.37,2390,51.08608,4.36633
188,Beerse,1394,2869,7703,15698,17167,17589,37.48,469,51.31949,4.85482
189,Visé,7752,9469,12599,16617,17333,17570,27.99,628,50.7371584,5.699039
190,Marche-en-Famenne,6049,9358,10935,16390,17419,17487,121.40,144,50.2282896,5.3441606
191,Herzele,10966,12978,14677,16276,17224,17467,47.40,369,50.8844221,3.8928472
192,Herve,12707,13453,11859,16469,17166,17423,56.84,307,50.6406643,5.7946868
193,Péruwelz,17974,18717,17657,16867,17216,17406,60.56,287,50.5105818,3.5936738
194,Bredene,2509,3173,7292,14076,16496,17324,13.08,1324,51.2345015,2.9728359
195,Putte,4281,6443,9913,15394,16726,17221,34.96,493,51.05476,4.62867
196,Pont-à-Celles,7748,14213,13548,16081,16807,17171,55.73,308,50.5135288,4.3580067
197,Duffel,4230,7313,12003,15971,16941,17118,22.71,754,51.09539,4.5052
198,Puurs,7978,9376,13313,15736,16704,17082,33.41,511,51.075,4.28925
199,Dour,12149,20056,20550,16865,16921,16861,33.32,506,50.4000126,3.7827918
200,Neerpelt,1892,3790,7812,15378,16686,16833,42.78,393,51.22724,5.43173
201,Soumagne,5269,8819,9990,14607,16302,16642,27.14,613,50.6322821,5.7361037
202,Dixmude,19397,19618,17993,15443,16432,16578,149.40,111,51.033331,2.8658393
203,Riemst,6925,8567,12758,15617,16265,16509,57.88,286,50.8089945,5.6012328
204,Fléron,3471,6728,9438,15891,16220,16477,13.72,1201,50.6205901,5.6862156
205,Aubange,3951,6668,11262,14663,16031,16438,45.60,360,49.5692623,5.8039986
206,Lille,3346,3587,6888,15021,16350,16421,59.40,276,51.2420452,4.8232254
207,Peer,3187,4175,7415,15251,16194,16287,86.95,187,51.1329,5.4536
208,Kruibeke,10951,10338,13459,14556,16028,16457,33.42,492,51.1706379,4.3123063
209,Rotselaar,5529,6426,8711,14587,15963,16412,37.57,437,50.9536709,4.7183791
210,Ciney,7016,11114,11517,14452,15661,16152,147.56,109,50.2956548,5.1008264
211,Merchtem,6465,7708,10494,14250,15693,15929,36.72,434,50.95842,4.23244
212,Hannut,11051,13820,12301,13242,15583,15836,86.53,183,50.67215,5.07776
213,Landen,5640,9968,12682,14288,15546,15835,54.05,293,50.75534,5.08081
214,Éghezée,11342,11753,10320,13414,15415,15801,102.81,154,50.59265,4.90365
215,Laakdal,4689,5446,9112,14806,15533,15793,42.48,372,51.08475,5.03076
216,Wemmel,1285,1621,6252,13932,15341,15755,8.74,1803,50.91032,4.3009225
217,Brée,4156,5432,9524,14001,15379,15656,64.96,241,51.14099,5.59802
218,Zulte,6788,7775,10028,14528,15288,15556,32.52,478,50.9219215,3.4437734
219,Beernem,9591,11163,12066,14525,15357,15486,71.68,216,51.1424568,3.3409522
220,Bastogne,6413,7968,8926,13391,15098,15439,172.03,90,50.0005062,5.7152802
221,Ternat,4977,6705,8749,14418,15142,15348,24.48,627,50.8700928,4.1783284
222,Dison,6513,17051,16933,13978,15142,15296,14.01,1092,50.6099208,5.8539546
223,Genappe,10021,11209,10323,13757,15135,15275,89.57,171,50.6108235,4.4502455
224,Bourg-Léopold,,3514,9111,13796,15172,15218,22.49,677,51.1182774,5.2508114
225,Rumst,3569,9018,12450,14583,14876,15148,19.90,761,51.0804194,4.4217892
226,Malle,2367,2768,6661,13922,14763,15104,51.99,291,51.2967796,4.6943409
227,Waremme,3890,6868,8172,13190,14769,14789,31.04,476,50.69757,5.25553
228,Bonheiden,3449,4559,8313,14089,14722,14759,29.27,504,51.02221,4.54803
229,Overpelt,1511,2806,7000,12533,14400,14968,40.85,366,51.1970553,5.3970123
230,Berlare,7718,9454,10394,13679,14690,14840,37.82,392,51.0174273,4.0058218
231,Tremelo,2722,3597,5872,13339,14679,14738,21.57,683,50.9911642,4.7037297
232,Chapelle-lez-Herlaimont,2578,9914,11199,13909,14561,14771,18.10,816,50.47124,4.28082
233,Ravels,2880,3203,7485,13099,14515,14730,94.99,155,51.370922,4.9939098
234,Brakel,14867,14367,13928,13709,14330,14643,56.46,259,50.80276,3.76382
235,Anzegem,11767,9746,11058,13718,14471,14587,41.79,349,50.8335698,3.479024
236,Sprimont,5191,8291,8126,12426,13966,14567,74.28,196,50.507009,5.6615841
237,Lummen,4291,4688,7625,13501,14358,14560,53.38,273,50.98761,5.19511
238,Thuin,9138,11931,10939,14603,14565,14547,76.17,191,50.3407615,4.2873285
239,Herselt,4504,5879,9382,13632,14399,14542,52.32,278,51.05238,4.88068
240,Buggenhout,5193,7205,10402,13752,14237,14525,25.25,575,51.0136764,4.2011261
241,Machelen,1855,4515,10630,11838,13738,14487,11.59,1250,50.9125785,4.4350213
242,Hamont-Achel,2056,3807,7850,13585,14225,14338,43.66,328,51.2697668,5.5154222
243,Wingene,12509,13822,12367,12517,13949,14298,68.42,209,51.05865,3.2748
244,Haacht,3985,5185,7187,13158,14186,14283,30.57,467,50.97894,4.64134
245,Lubbeek,4623,6133,7587,13620,13953,14190,46.13,308,50.883,4.83927
246,Aartselaar,1506,2109,3702,14438,14281,14174,10.93,1297,51.1340539,4.3844742
247,Lasne,6394,6688,5583,13512,14083,14169,47.22,300,50.68736,4.48135
248,Amay,5495,10026,11605,12987,13863,14147,27.61,512,50.5482792,5.3096648
249,Opwijk,4339,6141,9276,11718,13679,14139,19.69,718,50.971588,4.186911
250,Assenede,12129,13515,13749,13579,13942,14065,87.22,161,51.2269688,3.7510346
251,Wezembeek-Oppem,883,1396,3794,13622,13830,14061,6.82,2062,50.8508976,4.4874562
252,Beloeil,13553,15670,14380,13226,13769,13973,61.55,227,50.5487594,3.7352249
253,Couvin,9745,10967,11654,13249,13897,13971,206.93,68,50.05197,4.49457
254,Ichtegem,7361,10409,12032,13242,13898,13959,45.33,308,51.0928306,3.0106116
255,Jodoigne,12088,11978,9617,11483,13428,13939,73.31,190,50.72336,4.87115
256,Jabbeke,5145,6677,7668,13609,13781,13878,53.76,258,51.1829725,3.0948388
257,Kraainem,688,1295,3333,12692,13585,13684,5.80,2359,50.8610856,4.4592974
258,Ham-sur-Heure-Nalinnes,5667,6774,7081,13253,13464,13662,45.68,299,50.3368349,4.4151808
259,Dinant,10939,13186,12219,12735,13584,13632,99.80,137,50.260494,4.9127457
260,Leuze-en-Hainaut,16044,13936,12804,13031,13514,13620,73.53,185,50.6000942,3.6262371
261,Wanze,5933,10171,9886,12026,13235,13551,43.95,308,50.5344663,5.2141303
262,Oosterzele,9367,10328,11528,13204,13420,13503,43.12,313,50.9467651,3.8155053
263,Enghien,8102,8399,8436,10863,13091,13458,40.59,332,50.6947421,4.0418582
264,Blégny,5619,7109,6400,12382,13130,13240,26.07,508,50.6734033,5.7247316
265,Vieux-Turnhout,,3077,6175,12413,12905,13159,38.80,339,51.3177601,4.982845
266,Kuurne,2510,4611,8396,12785,12961,13093,10.01,1308,50.85397,3.287
267,Esneux,3057,5769,9380,13178,13228,13070,34.05,384,50.5350096,5.568372
268,Meeuwen-Gruitrode,2408,2849,5759,12513,12960,13015,91.26,143,51.09495,5.54784
269,Arendonk,3715,4356,7919,11805,12894,13323,55.38,241,51.322049,5.0863348
270,Grez-Doiceau,6866,7077,6252,11827,12861,13064,55.44,236,50.7386097,4.6974205
271,Affligem,4579,5927,7898,11651,12615,13035,17.70,736,50.9084,4.11281
272,Liedekerke,2261,4051,7715,11800,12646,12929,10.08,1283,50.86891,4.08729
