LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE,LAT,LONG
Heerlen,917,Limburg,88202,1977,45.53,50.8881742,5.9794988
Heeze-Leende,1658,NorthBrabant,15376,148,105.04,51.3506055,5.6118505
Heiloo,399,NorthHolland,22626,1211,19.01,52.6012341,4.7004931
DenHelder,400,NorthHolland,56553,1261,178.8,52.9562808,4.7607972
Hellendoorn,163,Overijssel,35697,259,138.99,52.3870446,6.4542947
Hellevoetsluis,530,SouthHolland,38918,1250,46.27,51.8318632,4.13181
Helmond,794,NorthBrabant,89346,1668,54.75,51.4792547,5.6570096
Hendrik-Ido-Ambacht,531,SouthHolland,28952,2648,11.9,51.8423973,4.6395056
Hengelo,164,Overijssel,80975,1329,61.83,52.2574121,6.7927725
's-Hertogenbosch,796,NorthBrabant,143745,1680,91.79,51.6978162,5.3036748
Heumen,252,Gelderland,16342,412,41.54,51.7645323,5.8431502
Heusden,797,NorthBrabant,43180,547,81.22,51.7285836,5.160875
Hillegom,534,SouthHolland,20987,1613,13.48,52.2956262,4.5791763
Hilvarenbeek,798,NorthBrabant,15082,159,96.49,51.4856827,5.1384062
Hilversum,402,NorthHolland,86574,1875,46.35,52.2291696,5.1668974
HofvanTwente,1735,Overijssel,34987,167,215.41,52.2414268,6.5915549
HollandsKroon,1911,NorthHolland,47501,133,662.2,52.8118586,5.0011902
Hoogeveen,118,Drenthe,54680,430,129.25,52.7286158,6.4901002
Hoogezand-Sappemeer,18,Groningen,34360,521,72.99,53.1637895,6.755887
Hoorn,405,NorthHolland,71741,3519,53.25,52.6423654,5.0602124
HorstaandeMaas,1507,Limburg,41718,222,191.92,51.4232255,6.0303174
Houten,321,Utrecht,48427,872,58.99,52.0278426,5.1630019
Huizen,406,NorthHolland,41239,2629,23.32,52.2994652,5.2433925
Hulst,677,Zeeland,27402,137,251.82,51.2806907,4.0548869
IJsselstein,353,Utrecht,34268,1620,21.68,52.0177649,5.0403003
KaagenBraassem,1884,SouthHolland,25758,406,72.24,52.204135,4.6313145
Kampen,166,Overijssel,51069,355,161.79,52.5579645,5.9144617
Kapelle,678,Zeeland,12508,334,49.63,51.4847546,3.9596313
Katwijk,537,SouthHolland,62825,2546,31.13,52.19802,4.4199429
Kerkrade,928,Limburg,46773,2159,22.13,50.8659457,6.0705486
Koggenland,1598,NorthHolland,22473,278,84.13,52.6521964,4.9420151
KollumerlandenNieuwkruisland,79,Friesland,12856,118,116.35,53.3058876,6.1891093
Korendijk,588,SouthHolland,10693,140,100.47,51.8109615,4.3423859
KrimpenaandenIJssel,542,SouthHolland,28814,3681,8.95,51.9143534,4.5962325
Krimpenerwaard,1931,SouthHolland,54287,337,161.3,51.982222,4.781667
Laarbeek,1659,NorthBrabant,21815,390,56.17,51.5384467,5.6212732
Landerd,1685,NorthBrabant,15262,214,70.71,51.7267746,5.6594923
Landgraaf,882,Limburg,37530,1549,24.66,50.8927646,6.0224085
Landsmeer,415,NorthHolland,10457,458,26.5,52.4295674,4.9138121
Langedijk,416,NorthHolland,26984,1123,27.03,52.6867108,4.7838987
Lansingerland,1621,SouthHolland,57188,1018,56.37,51.9987144,4.5162627
Laren,417,NorthHolland,10846,915,12.41,52.2568172,5.224155
Leek,22,Groningen,19607,307,64.28,53.1616114,6.3906165
Leerdam,545,SouthHolland,20586,612,34.42,51.8943133,5.096927
Leeuwarden,80,Friesland,108113,713,166.99,53.2012334,5.7999133
Leeuwarderadeel,81,Friesland,10275,253,41.46,53.2644258,5.7523344
Leiden,546,SouthHolland,121199,5409,23.27,52.1601144,4.4970097
