INDEX,LIBMIN,PMUN15,SURFACE,DENSITE,LAT,LONG
475,Geetbets,5992,35.17,170.372476543,50.894268,5.1126993
476,Engis,5976,27.74,215.428983417,50.5832252,5.4037136
477,Viroinval,5962,120.90,49.3134822167,50.0714722,4.6059942
478,Ellezelles,5916,44.69,132.37860819,50.7337608,3.6799142
479,Limbourg,5867,24.63,238.20544052,50.6203121,5.9418935
480,Nandrin,5814,35.90,161.949860724,50.5071457,5.4198465
481,Butgenbach,5608,97.31,57.630253828,50.4266339,6.2042885
482,Hastière,5896,56.46,104.427913567,50.1961323,4.836114
483,Remicourt,5867,22.58,259.831709477,50.6802,5.32844
484,Lendelede,5748,13.15,437.11026616,50.8862994,3.2381931
485,Lobbes,5747,32.08,179.145885287,50.3520052,4.2665184
486,Hotton,5714,57.32,99.6859734822,50.26728,5.44568
487,Étalle,5688,78.10,72.8297055058,49.673826,5.6002831
488,Thimister-Clermont,5686,28.69,198.187521785,50.6542116,5.8640147
489,Lontzen,5668,28.73,197.285067873,50.68113,6.00716
490,Bullange,5654,150.49,37.5706026979,50.4071499,6.2574774
491,Saint-Hubert,5625,111.16,50.6027347967,50.0260067,5.3727272
492,Pecq,5580,32.91,169.553327256,50.6854685,3.3386962
493,Florenville,5566,146.91,37.8871417875,49.6977116,5.3119224
494,Celles,5559,67.14,82.7971403038,50.7125367,3.4574924
495,Amblève,5528,44,125.636363636,50.3541847,6.1694355
496,Vaux-sur-Sûre,5446,135.87,40.0824317362,49.9105504,5.5671709
497,Bouillon,5432,149.09,36.4343685022,49.7946641,5.0707587
498,Nassogne,5408,111.96,48.3029653448,50.1285782,5.3426393
499,Marchin,5396,30.00,179.866666667,50.46517,5.24204
500,Gouvy,5385,165.11,32.614620556,50.1852034,5.9406801
501,Attert,5382,70.94,75.8669297998,49.7506889,5.7865368
502,Glabbeek,5381,26.78,200.933532487,50.8729134,4.9488142
503,Momignies,5328,85.58,62.2575368077,50.0262706,4.1661787
504,Paliseul,5316,112.96,47.0609065156,49.9037207,5.1345355
505,Comblain-au-Pont,5312,22.68,234.215167549,50.4754052,5.57481
506,Somme-Leuze,5293,95.09,55.6630560522,50.3399089,5.3700431
507,Ruiselede,5263,30.20,174.271523179,51.0413098,3.3970513
508,Drogenbos,5246,2.49,2106.82730924,50.7875382,4.3164506
509,Honnelles,5189,43.65,118.877434135,50.366628,3.6942525
510,Houffalize,5189,166.58,31.150198103,50.1324333,5.7907691
