LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Eich,1696,5.9,285.5,47.1534138,8.1666942
Eichberg,1507,5.5,277.5,47.3428013,9.5319606
Eiken,2152,7.0,304.0,47.5331075,7.9871358
Einsiedeln,14878,99.1,150.2,47.127353,8.7451537
Eischoll,449,13.8,32.6,46.29327,7.78062
Eisten,209,38.0,5.5,46.1974,7.89508
Elfingen,268,4.2,63.4,47.5084111,8.0994405
Elgg,4121,15.6,264.3,47.4910721,8.8665461
EllikonanderThur,906,5.0,180.5,47.5630455,8.8246219
Elsau,3421,8.0,424.4,47.4980584,8.7982546
Embd,311,13.4,23.2,46.2182223,7.830532
Embrach,8940,12.7,704.5,47.509856,8.5938067
Emmen,28926,20.3,1422.8,47.0772338,8.275637
Emmetten,1363,25.0,54.7,46.9567523,8.5134155
Endingen,2394,11.9,200.8,47.5380994,8.2903426
Engelberg,4020,74.8,53.7,46.8200266,8.4069918
Enges,266,9.5,27.7,47.0566208,7.012101
Ennetbaden,3264,2.1,1546.9,47.4795038,8.3143249
Ennetbürgen,4553,9.4,488.0,46.9851573,8.413513
Ennetmoos,2109,14.1,149.9,46.9569067,8.3387923
Entlebuch,3290,57.0,57.8,46.9917412,8.0647494
Epalinges,8936,4.6,1955.4,46.5488573,6.674199
Ependes(FR),1100,5.6,196.1,46.7537683,7.1459803
Ependes(VD),332,4.8,68.7,46.7428093,6.6081451
Eppenberg-Wöschnau,317,1.8,175.1,47.3758233,8.02418
Epsach,324,3.4,95.6,47.0694755,7.2195126
Eptingen,516,11.2,46.1,47.3854855,7.8203957
Ergisch,193,30.1,6.4,46.2930165,7.7137073
Eriswil,1386,11.3,122.0,47.079899,7.850674
Eriz,485,21.8,22.3,46.7882169,7.7775067
Erlach,1327,3.5,378.1,47.0434885,7.0968065
Erlen,3299,12.2,270.6,47.5518448,9.2265297
Erlenbach(ZH),5340,3.0,1847.8,47.3052989,8.5971471
ErlenbachimSimmental,1664,36.7,45.3,46.6605558,7.552996
Erlinsbach(AG),3839,9.9,389.7,47.4067819,8.0111999
Erlinsbach(SO),3327,8.9,375.1,47.3982991,8.008368
Ermatingen,3090,10.4,296.0,47.669301,9.0799371
Ermensee,875,5.7,154.3,47.2275544,8.2413701
Ernen,538,35.4,15.2,46.3985001,8.1457733
Erschwil,892,7.5,120.1,47.3732135,7.5411714
Ersigen,1642,8.7,188.7,47.0949236,7.5961581
Erstfeld,3804,59.2,64.3,46.8228834,8.6483355
Eschenbach(LU),3553,13.2,268.6,47.1327643,8.319947
Eschenbach(SG),8903,54.9,162.3,47.2406093,8.9220805
Eschenz,1693,12.0,141.0,47.648154,8.8733916
Eschert,364,6.6,55.3,47.2755622,7.3992276
Eschlikon,4160,6.2,669.9,47.463985,8.9667384
