LIBMIN,PMUN13,SURFACE,DENSITE
Prato(Leventina),408,16.9,24.2
Pratteln,15323,10.7,1433.4
Pratval,254,0.8,329.9
Pregny-Chambésy,3563,3.3,1099.7
Premier,191,6.0,31.2
Preonzo,618,16.5,37.6
Presinge,639,4.7,135.4
Préverenges,5176,1.8,2782.8
Prévondavaux,64,1.8,35.6
Prévonloup,150,1.8,81.5
Prez-vers-Noréaz,968,5.7,170.4
Prilly,11829,2.2,5401.4
Provence,344,31.9,10.8
Puidoux,2816,22.9,123.0
Pully,17460,5.9,2984.6
Puplinge,2049,2.6,770.3
Pura,1419,3.1,466.8
Quarten,2854,61.7,46.2
Quinto,1046,75.2,13.9
Radelfingen,1224,14.7,83.0
Rafz,4175,10.7,390.6
Rain,2515,9.4,267.6
Ramlinsburg,687,2.3,306.7
Ramsen,1375,13.5,101.9
Rances,426,9.8,43.3
Randa,445,54.4,8.2
Randogne,4384,16.8,259.7
Raperswilen,396,7.7,51.6
Rapperswil(BE),2381,20.4,116.8
Rapperswil-Jona,26542,22.2,1192.9
Raron,1900,30.3,62.7
Realp,148,78.0,1.9
Rebeuvelier,377,8.4,44.8
Rebévelier,45,3.6,12.7
Rebstein,4425,4.3,1008.0
Recherswil,1759,3.3,522.0
Rechthalten,1083,7.3,148.6
Reckingen-Gluringen,454,41.3,11.0
Reconvilier,2284,8.2,276.8
Regensberg,485,2.4,204.6
Regensdorf,17179,14.6,1175.0
Rehetobel,1731,6.7,257.6
ReichenbachimKandertal,3507,125.8,27.9
Reichenburg,3402,11.6,293.5
Reiden,6763,27.0,250.5
Reigoldswil,1566,9.2,169.3
Reinach(AG),8103,9.5,855.6
Reinach(BL),18839,7.0,2691.3
Reisiswil,193,2.0,96.0
Reitnau,1264,5.8,217.6
Rekingen(AG),986,3.1,318.1
Remaufens,993,5.9,168.0
Remetschwil,2049,3.9,526.7
Remigen,1047,7.9,133.0
Renan(BE),854,12.6,67.6
Renens(VD),20333,3.0,6869.3
Rennaz,773,2.2,353.0
Reute(AR),662,4.9,132.7
Reutigen,966,11.3,85.6
Reverolle,345,1.1,292.4
Rhäzüns,1363,13.3,101.9
Rheinau,1326,8.9,148.7
Rheineck,3250,2.2,1470.6
Rheinfelden,12548,16.0,782.8
Riaz,2251,7.8,290.1
Richterswil,13022,7.6,1727.1
Rickenbach(BL),588,2.9,203.5
Rickenbach(LU),3076,11.8,259.4
Rickenbach(SO),888,2.8,321.7
Rickenbach(TG),2714,1.6,1739.7
Rickenbach(ZH),2523,6.1,417.7
Riddes,2894,23.9,121.2
RiedbeiKerzers,1079,7.6,142.2
Ried-Brig,1993,47.5,42.0
Riederalp,508,21.0,24.1
Riedholz,2256,7.2,314.6
Riehen,20799,10.9,1915.2
Riemenstalden,96,11.2,8.6
Rietheim,750,3.9,190.8
Rifferswil,959,6.6,147.3
Riggisberg,2438,29.9,81.7
Ringgenberg(BE),2642,8.7,301.9
Riniken,1478,4.8,311.2
Riom-Parsonz,294,56.0,5.3
Risch,9963,14.8,670.5
RivaSanVitale,2581,5.9,432.3
Rivaz,348,0.3,1122.6
Roche(VD),1440,6.4,223.6
Rochefort,1104,20.9,52.8
Roches(BE),211,9.1,23.3
Rocourt,161,4.5,36.0
Rodels,267,1.7,158.9
Rodersdorf,1291,5.3,241.8
Römerswil,1658,16.7,99.9
Röschenz,1836,10.1,182.3
RöthenbachimEmmental,1240,36.8,33.7
Roggenburg,287,6.7,43.2
Roggliswil,635,6.2,102.3
Roggwil(BE),3862,7.8,495.8
Roggwil(TG),2887,11.9,239.8
Rohr(SO),90,2.3,40.4
Rohrbach,1402,4.1,342.8
Rohrbachgraben,409,6.5,63.1
Rolle,5921,2.7,2160.9
Romainmôtier-Envy,504,7.0,72.3
Romanel-sur-Lausanne,3298,2.9,1145.1
Romanel-sur-Morges,462,1.7,264.0
Romanshorn,10535,8.7,1204.0
Romont(BE),195,7.0,27.7
Romont(FR),4973,10.9,456.7
Romoos,674,37.3,18.1
RoncosopraAscona,652,5.0,129.9
Rongellen,57,2.0,28.2
Root,4669,8.6,539.1
Ropraz,385,4.8,79.7
Rorbas,2586,4.5,585.1
Rorschach,8988,1.8,5078.0
Rorschacherberg,6965,7.1,976.9
Rossa,125,58.9,2.1
Rossemaison,600,1.9,317.5
Rossenges,60,1.1,56.1
Rossens(FR),1254,5.1,245.9
Rossinière,539,23.4,23.1
Rothenbrunnen,309,3.1,99.4
Rothenburg,7238,15.5,464.9
Rothenfluh,776,10.9,71.0
Rothenthurm,2270,22.8,99.6
Rothrist,8271,11.8,698.6
Rottenschwil,801,4.5,178.4
Rougemont,913,48.6,18.8
Roveredo(GR),2531,38.8,65.2
Rovio,798,5.5,144.3
Rovray,153,3.2,47.8
Rubigen,2906,7.0,419.3
Rudolfstetten-Friedlisberg,4449,4.9,906.1
Rue,1404,11.2,125.2
Rüderswil,2331,17.2,135.8
Rüdlingen,754,5.5,137.3
Rüdtligen-Alchenflüh,2403,2.7,880.2
Rüeggisberg,1831,35.7,51.2
Rüegsau,3127,15.1,207.4
Rüfenach,871,4.2,208.9
Rümikon,271,2.9,93.4
Rümlang,7231,12.5,581.3
Rümligen,442,4.7,95.1
Rümlingen,389,2.3,170.6
Rünenberg,764,5.0,153.4
Rüschegg,1615,57.4,28.2
Rüschlikon,5537,2.9,1889.8
Rüte,3435,40.9,84.1
Rüthi(SG),2154,9.3,230.6
Rüti(ZH),11993,10.1,1192.1
RütibeiBüren,818,6.5,125.7
RütibeiLyssach,172,1.3,133.3
Rütschelen,566,4.0,142.2
Rüttenen,1460,8.8,166.5
Rueyres,254,2.0,125.7
Rueyres-les-Prés,376,3.2,118.6
Rumendingen,89,2.5,36.6
Rumisberg,471,5.2,91.5
Rupperswil,4965,6.2,799.5
Russikon,4160,14.3,292.8
Russin,489,5.0,99.6
Russy,229,3.7,61.9
Ruswil,6763,45.3,149.5
S-chanf,727,138.0,5.3
Saanen,6858,119.7,57.3
Saas,748,26.8,28.0
Saas-Almagell,393,110.3,3.6
Saas-Balen,399,30.2,13.2
Saas-Fee,1659,40.6,40.9
Saas-Grund,1058,24.6,43.1
Sachseln,5007,53.8,92.9
Safenwil,3588,6.0,599.0
Safiental,912,151.4,6.0
Safnern,1886,5.6,335.6
Sagogn,673,7.0,97.3
Saicourt,609,13.8,44.2
Saignelégier,2559,31.8,80.9
Saillon,2363,13.7,172.0
Saint-Aubin(FR),1557,7.9,197.6
Saint-Aubin-Sauges,2409,7.7,312.5
Saint-Barthélemy(VD),773,4.1,187.6
Saint-Blaise,3270,8.9,368.7
Saint-Brais,232,15.1,15.3
Saint-Cergue,2259,24.3,93.0
Saint-George,960,12.3,77.9
Saint-Gingolph,951,14.4,66.1
Saint-Imier,4949,20.9,236.9
Saint-Légier-LaChiésaz,5065,15.2,333.9
Saint-Léonard,2213,3.9,567.4
Saint-Livres,695,8.1,85.6
Saint-Martin(FR),1013,9.8,103.5
Saint-Martin(VS),879,37.0,23.7
Saint-Maurice,4516,15.0,302.3
Saint-Oyens,315,3.0,103.3
Saint-Prex,5449,5.5,987.1
Saint-Saphorin(Lavaux),365,0.9,410.1
Saint-Sulpice(VD),3366,1.8,1809.7
Sainte-Croix,4759,39.3,120.7
Salenstein,1294,6.5,197.9
Sâles,1458,18.8,77.6
Salgesch,1399,11.4,123.4
Salmsach,1368,2.6,506.7
Salouf,216,31.4,6.9
Salvan,1267,53.5,23.7
Salvenach,513,3.8,134.6
Samedan,3007,114.0,26.4
Samnaun,789,56.2,14.0
SanVittore,754,22.0,34.2
Sant'Antonino,2310,6.6,350.5
Sant'Antonio,229,33.6,6.8
SantaMariainCalanca,113,9.3,12.1
Sargans,5964,9.5,631.1
Sarmenstorf,2677,8.3,322.1
Sarnen,10084,73.1,137.9
Sarzens,83,1.5,57.6
Satigny,3962,18.9,209.4
Sattel,1854,17.3,106.8
Saubraz,372,3.7,100.5
Sauge,816,13.5,60.7
Saulcy,255,7.9,32.4
Saules(BE),156,4.3,36.4
Savièse,7149,71.0,100.8
Savigny,3374,16.1,210.6
Savognin,1009,22.2,45.4
Savosa,2159,0.7,2917.6
Saxeten,98,19.2,5.1
Saxon,4993,23.2,214.9
Schänis,3692,39.9,92.4
Schaffhausen,35613,41.9,850.8
Schafisheim,2868,6.4,453.1
Schangnau,886,36.5,24.3
Scharans,826,14.3,57.8
Schattdorf,5005,16.3,306.9
Schattenhalb,590,31.5,18.7
Schelten,40,5.5,7.2
Schenkon,2744,6.8,409.6
Scherz,649,3.3,196.7
Scheuren,458,2.1,218.1
Schiers,2596,61.8,42.1
Schinznach,2233,12.2,182.6
Schinznach-Bad,1195,1.9,628.9
Schlatt(TG),1635,15.5,105.3
Schlatt(ZH),738,9.1,82.3
Schlatt-Haslen,1107,17.9,61.8
Schleinikon,707,5.7,124.5
Schleitheim,1721,21.5,79.7
Schlierbach,778,7.2,108.5
Schlieren,17652,6.5,2674.5
Schlossrued,800,7.3,110.8
Schlosswil,627,3.5,181.7
Schluein,590,4.8,123.2
Schmerikon,3471,4.0,838.4
Schmiedrued,1181,8.6,136.7
Schmitten(FR),4006,13.6,296.7
Schmitten(GR),252,11.3,22.2
Schneisingen,1316,8.3,159.5
Schnottwil,1037,7.2,144.4
Schöfflisdorf,1362,4.0,339.7
Schöftland,4038,6.2,643.0
Schönenberg(ZH),1885,11.0,172.0
Schönenbuch,1414,1.3,1039.7
Schönengrund,509,5.2,97.7
Schönenwerd,4859,3.7,1302.7
Schönholzerswilen,837,10.9,76.5
Schötz,3942,15.4,257.0
Schongau,977,12.5,78.5
Schübelbach,8761,29.0,302.0
Schüpfen,3670,19.8,185.1
Schüpfheim,4093,38.5,106.6
Schupfart,758,7.0,107.7
Schwaderloch,687,2.8,247.1
Schwadernau,673,4.1,162.6
SchwandenbeiBrienz,582,7.1,82.9
Schwarzenberg,1682,39.2,42.9
Schwarzenburg,6794,44.8,151.7
Schwarzhäusern,501,3.8,132.2
Schwellbrunn,1492,17.4,85.7
Schwende,2171,57.5,37.7
Schwendibach,243,1.5,162.0
Schwerzenbach,4957,2.7,1870.6
Schwyz,14785,53.2,277.7
Scuol,2350,144.1,16.3
Seeberg,1423,15.8,90.3
Seedorf(BE),2968,20.9,142.1
Seedorf(UR),1834,15.5,118.6
Seegräben,1333,3.8,353.6
Seehof,69,8.4,8.2
Seelisberg,682,13.3,51.1
Seengen,3714,9.6,383.3
Seewen,1003,16.4,61.5
SeewisimPrättigau,1372,49.6,27.6
Seftigen,2221,3.9,571.0
Selma,33,2.9,11.3
Seltisberg,1292,3.5,361.9
Selzach,3183,19.5,163.4
Sembrancher,954,17.7,54.1
Sementina,3075,8.4,372.7
Sempach,4149,9.0,465.7
Semsales,1347,29.4,45.9
Senarclens,433,3.9,109.1
Senèdes,153,0.5,306.0
Sennwald,5038,41.5,121.4
Sent,899,111.7,8.1
Seon,4807,9.7,499.7
Sergey,146,1.5,100.0
Serravalle,2089,96.9,21.6
Servion,1867,6.3,294.9
Sessa,684,2.8,238.3
Seuzach,7201,7.6,951.3
Sévaz,255,2.5,102.0
Sevelen,4679,30.3,154.2
Sévery,212,2.4,89.1
Siblingen,810,9.3,86.1
Sierre,16332,19.2,851.5
Siglistorf,621,5.5,112.7
Signau,2737,22.1,124.0
Signy-Avenex,464,1.9,240.4
Sigriswil,4676,55.4,84.4
Silenen,2195,144.8,15.2
SilsimDomleschg,895,9.3,96.0
SilsimEngadin/Segl,756,63.5,11.9
Silvaplana,1067,44.7,23.8
Simplon,327,90.9,3.6
Sins,4183,20.2,206.1
Sion,32797,29.7,1102.0
Sirnach,7471,12.4,602.0
Siselen,599,5.5,108.5
Sisikon,394,16.3,24.1
Sissach,6406,8.9,722.2
Sisseln,1471,2.6,583.7
Siviriez,2195,20.3,108.2
Soazza,361,46.4,7.8
Sobrio,78,6.4,12.2
Solothurn,16599,6.3,2643.2
Sommeri,507,4.2,120.4
Sonceboz-Sombeval,1849,15.0,123.2
Sonogno,94,37.6,2.5
Sonvilier,1246,23.8,52.4
Soral,744,2.9,252.2
Sorengo,1868,0.9,2197.6
Sorens,1031,8.7,118.2
Sornetan,139,5.7,24.6
Sorvilier,255,6.8,37.0
Soubey,144,13.5,10.7
Souboz,131,10.6,12.3
Soyhières,474,7.5,63.2
Speicher,4166,8.2,509.9
Spiez,12577,16.8,753.6
Spiringen,841,64.7,13.0
Splügen,392,60.5,6.5
Spreitenbach,10970,8.6,1275.6
St.Antönien,356,52.2,6.8
St.Antoni,1908,16.9,113.6
St.Gallen,74581,39.3,1893.4
St.Margrethen,5728,6.9,835.0
St.Martin,35,22.9,1.5
St.Moritz,5149,28.7,179.5
St.Niklaus,2300,89.3,25.8
St.Silvester,955,7.1,135.1
St.Stephan,1339,60.9,22.0
St.Ursen,1281,15.7,81.3
Stabio,4460,6.2,725.2
Stadel,2029,12.9,157.3
Stäfa,13931,8.6,1623.7
Staffelbach,1054,9.0,117.9
Stalden(VS),1111,10.5,106.5
Staldenried,553,14.3,38.6
Stallikon,3339,12.0,277.3
Stans,8175,11.1,737.2
Stansstad,4402,9.1,483.2
Starrkirch-Wil,1660,1.8,902.2
Staufen,2604,3.5,729.4
Steckborn,3626,8.8,413.9
Steffisburg,15585,13.5,1166.5
Steg-Hohtenn,1558,14.2,110.0
Stein(AG),3037,2.8,1080.8
Stein(AR),1375,9.4,146.7
SteinamRhein,3334,5.8,578.8
Steinach,3486,4.5,778.1
Steinen,3302,11.9,278.9
Steinerberg,915,6.9,132.6
Steinhausen,9258,5.0,1833.3
Steinmaur,3354,9.5,356.8
Sternenberg,351,8.7,40.3
Stetten(AG),1958,4.4,444.0
Stetten(SH),1292,4.7,275.5
Stettfurt,1149,6.3,180.7
Stettlen,2931,3.6,832.7
Stierva,134,10.5,12.7
Stocken-Höfen,981,14.2,69.0
Strengelbach,4670,6.0,777.0
Studen(BE),2958,2.7,1087.5
Stüsslingen,1034,6.2,167.3
Subingen,3027,6.2,484.3
Suchy,483,6.7,72.5
Sufers,127,34.6,3.7
Suhr,9753,10.6,919.2
Sulgen,3625,9.1,397.0
Sullens,893,3.9,227.8
Sumiswald,5031,59.4,84.8
Sumvitg,1249,101.8,12.3
Sur,78,23.2,3.4
Surava,196,7.0,28.1
Surpierre,325,4.8,67.4
Sursee,9160,5.9,1563.1
Suscévaz,195,4.1,47.0
Susch,211,94.0,2.2
Sutz-Lattrigen,1384,3.6,384.4
Syens,135,2.5,53.6
Tägerig,1410,3.3,428.6
Tägertschi,409,3.6,112.4
Tägerwilen,4282,11.5,371.7
Täsch,1212,58.7,20.6
Täuffelen,2676,4.4,608.2
Tafers,3147,8.4,374.6
Tamins,1202,40.7,29.5
Tannay,1539,1.8,845.6
Tarasp,341,46.9,7.3
Tartegnin,225,1.1,206.4
Tavannes,3563,14.8,241.4
Tecknau,853,2.4,363.0
Tegerfelden,1119,7.1,157.4
Tenero-Contra,2751,3.7,745.5
Tenniken,887,4.7,190.3
Tentlingen,1227,3.7,339.9
Termen,865,18.8,46.2
TerrediPedemonte,2609,11.4,229.5
Teufen(AR),6038,15.3,396.2
Teufenthal(AG),1596,3.6,447.1
Teuffenthal(BE),163,4.6,36.0
Tévenon,744,14.2,52.1
Thal,6433,9.6,669.4
Thalheim(AG),764,9.8,77.1
ThalheimanderThur,916,6.4,142.0
Thalwil,17554,5.5,3191.6
Thayngen,5151,20.0,258.5
Therwil,9867,7.7,1293.2
Thierachern,2460,7.5,327.1
Thörigen,1046,4.5,231.4
Thônex,13756,3.8,3582.3
Thürnen,1345,2.3,597.8
Thun,42929,21.6,1989.3
Thundorf,1345,15.6,86.2
Thunstetten,3066,9.7,317.7
Thusis,2946,6.8,432.6
Tiefencastel,254,14.9,17.1
Tinizong-Rona,326,54.3,6.0
Titterten,417,3.7,112.4
Tobel-Tägerschen,1478,7.1,207.9
Törbel,476,17.6,27.1
Toffen,2546,4.9,519.6
Tolochenaz,1784,1.6,1122.0
Tomils,717,30.5,23.5
Torny,871,10.2,85.6
Torricella-Taverne,3067,5.2,585.3
Trachselwald,979,16.0,61.3
Tramelan,4419,24.9,178.0
Trasadingen,595,4.1,144.1
Treiten,422,4.7,88.7
Trélex,1419,5.9,245.5
Trey,258,3.8,67.7
Treycovagnes,460,2.1,221.2
Treytorrens(Payerne),127,3.1,41.4
Treyvaux,1447,11.4,126.5
Triengen,4450,22.1,201.6
Trient,161,39.5,4.1
Trimbach,6454,7.7,847.0
Trimmis,3040,42.9,70.9
Trin,1265,47.2,26.8
Trogen,1696,10.0,169.3
Troinex,2295,3.4,671.1
Troistorrents,4347,37.0,117.6
Trub,1344,62.0,21.7
Trubschachen,1423,15.6,91.0
Trüllikon,996,9.6,104.4
Trun,1238,51.9,23.9
Truttikon,450,4.4,102.0
Tschappina,138,24.7,5.6
Tschiertschen-Praden,310,27.8,11.2
Tschugg,447,3.3,135.9
Tübach,1316,2.0,664.6
Tuggen,3065,13.6,226.7
Tujetsch,1405,133.9,10.5
Turbenthal,4350,25.2,172.6
Turgi,2956,1.5,1907.1
Turtmann-Unterems,1125,42.3,26.6
Twann-Tüscherz,1113,12.4,89.5
Udligenswil,2174,6.3,349.0
Ueberstorf,2387,16.1,148.1
Uebeschi,664,4.4,150.9
Ueken,845,5.1,165.7
Uerkheim,1303,7.1,183.5
Uesslingen-Buch,1076,14.0,76.8
Uetendorf,5967,10.2,587.9
UetikonamSee,5895,3.5,1703.8
Uezwil,417,2.5,170.9
Ufhusen,862,12.3,70.4
Uitikon,3928,4.4,898.9
Ulmiz,398,2.9,140.6
Unterägeri,8376,25.6,327.3
Unterbäch,411,22.0,18.7
Untereggen,1031,7.1,144.6
Unterengstringen,3456,3.4,1031.6
Unterentfelden,4066,2.9,1411.8
Unteriberg,2304,46.7,49.5
Unterkulm,2909,8.9,327.2
Unterlangenegg,920,6.8,135.1
Unterlunkhofen,1244,4.5,277.1
Unterramsern,212,1.5,135.9
Unterschächen,705,80.3,8.8
Unterseen,5646,14.1,402.4
Untersiggenthal,7091,8.3,857.4
Unterstammheim,886,7.3,122.2
Untervaz,2426,27.7,87.5
Urdorf,9526,7.6,1256.7
Urmein,128,4.4,29.6
Urnäsch,2245,48.3,46.5
Ursenbach,907,9.1,99.2
Ursins,205,3.4,61.2
Ursy,2717,15.0,181.6
Urtenen-Schönbühl,6084,7.2,847.4
Uster,33097,28.5,1160.1
Uttigen,1895,3.8,500.0
Uttwil,1815,4.4,418.2
Utzenstorf,4123,17.0,243.5
Uznach,6144,7.6,813.8
Uzwil,12698,14.5,875.7
Vacallo,3276,1.6,2034.8
ValMüstair,1565,198.6,7.9
ValTerbi,2620,38.9,67.4
Val-d'Illiez,1793,39.3,45.7
Val-de-Charmey,2354,112.2,21.0
Val-de-Ruz,16164,124.4,130.1
Val-de-Travers,10900,124.7,87.3
Valangin,485,3.7,129.0
Valbroye,2843,33.5,84.7
Valeyres-sous-Montagny,656,2.3,287.7
Valeyres-sous-Rances,577,6.4,90.6
Valeyres-sous-Ursins,238,2.8,82.6
Vallon,382,3.5,108.8
Vallorbe,3610,23.2,155.7
Vals,971,152.6,6.4
Valsot,910,159.2,5.7
Vandoeuvres,2572,4.4,583.2
Varen,625,12.8,48.8
Vaulion,464,13.2,35.2
Vaulruz,1035,10.1,101.9
Vaumarcus,265,1.8,148.9
Vaux-sur-Morges,180,2.1,85.7
Vaz/Obervaz,2654,42.5,62.4
Vechigen,4991,24.8,201.0
Vellerat,72,2.0,35.3
Veltheim(AG),1413,5.2,269.7
Vendlincourt,557,9.2,60.7
Venthône,1219,2.5,481.8
Verdabbio,161,13.1,12.3
Vergeletto,59,40.7,1.4
Vernate,586,1.5,388.1
Vernay,1067,8.4,128.7
Vernayaz,1875,5.7,334.8
Vernier,34235,7.7,4457.7
Vérossaz,679,14.3,47.5
Versoix,13021,10.6,1238.9
Vétroz,5407,10.4,517.4
Vevey,18906,2.4,7943.7
Vex,1719,13.0,132.3
Veyras,1760,1.5,1213.8
Veyrier,10799,6.5,1661.4
Veysonnaz,595,1.1,540.9
Veytaux,839,6.7,124.1
Vezia,1966,1.4,1414.4
Vich,759,1.6,486.5
VicoMorcote,377,1.9,197.4
Villarepos,607,4.7,127.5
Villars-Epeney,83,0.9,96.5
Villars-le-Comte,157,4.2,37.5
Villars-le-Terroir,893,7.1,126.0
Villars-Sainte-Croix,671,1.7,406.7
Villars-sous-Yens,560,3.0,184.2
Villars-sur-Glâne,12057,5.5,2196.2
Villarsel-sur-Marly,87,1.4,61.7
Villarzel,404,7.7,52.7
Villaz-Saint-Pierre,1189,5.5,212.7
Villeneuve(FR),375,3.6,106.2
Villeneuve(VD),5157,32.1,161.0
Villeret,923,16.3,56.8
Villigen,2033,11.2,181.2
Villmergen,6752,12.0,565.5
Villnachern,1533,5.7,267.1
Villorsonnens,1297,15.5,83.8
Vilters-Wangs,4538,32.7,138.7
Vinelz,841,4.6,184.0
Vinzel,350,1.1,321.1
Vionnaz,2355,21.0,112.5
Visp,7377,13.2,560.1
Visperterminen,1383,51.6,26.8
Vitznau,1249,8.9,140.2
Vogorno,270,23.9,11.3
Volken,306,3.3,95.6
Volketswil,18099,14.0,1290.0
Vollèges,1782,17.9,99.7
Vordemwald,1820,10.2,179.7
Vorderthal,1015,28.0,36.3
Vouvry,3891,33.5,116.1
Vuadens,2204,10.5,211.1
Vuarrens,895,9.0,99.9
Vucherens,508,3.3,155.4
Vufflens-la-Ville,1222,5.4,227.1
Vufflens-le-Château,825,2.2,385.5
Vugelles-LaMothe,131,3.1,42.7
Vuissens,253,5.6,45.1
Vuisternens-devant-Romont,2134,24.1,88.7
Vuisternens-en-Ogoz,975,6.2,157.5
Vuiteboeuf,538,5.1,106.3
Vulliens,431,6.7,65.0
Vullierens,446,6.9,65.2
Vully-les-Lacs,2655,21.1,125.5
Wachseldorn,237,3.5,67.3
Wädenswil,21012,17.4,1208.3
Wäldi,993,12.2,81.2
Wängi,4449,16.5,270.8
Wagenhausen,1676,11.8,141.6
Wahlen,1399,5.4,258.1
Walchwil,3626,13.5,267.6
Wald(AR),832,6.8,122.0
Wald(BE),1194,13.3,89.9
Wald(ZH),9346,25.2,370.0
Waldenburg,1183,8.3,142.5
Waldkirch,3483,31.3,111.3
Waldstatt,1790,6.7,265.6
Walenstadt,5481,45.7,120.0
Walkringen,1816,17.2,105.6
Wallbach,1876,4.5,416.0
Wallenried,459,3.9,118.9
Wallisellen,14858,6.5,2310.7
WalliswilbeiNiederbipp,217,1.4,146.6
WalliswilbeiWangen,580,3.1,189.5
Walperswil,959,7.0,137.8
Waltalingen,692,7.3,95.1
Waltensburg/Vuorz,338,32.3,10.5
Waltenschwil,2619,4.6,574.3
Walterswil(BE),543,7.9,68.6
Walterswil(SO),727,4.5,162.3
Walzenhausen,2052,7.0,294.4
Wangen(SZ),4742,8.5,559.2
WangenanderAare,2156,5.2,412.2
WangenbeiOlten,4906,6.9,704.9
Wangen-Brüttisellen,7589,7.9,958.2
Wangenried,409,2.9,140.5
Wartau,5220,41.8,125.1
Warth-Weiningen,1223,8.2,149.1
Wassen,429,97.0,4.4
Wasterkingen,575,3.9,145.2
Wattenwil,2765,14.5,190.2
Wattwil,8425,51.2,164.6
Wauwil,1874,2.9,637.4
Weesen,1583,5.4,293.7
Wegenstetten,1048,7.1,147.0
Weggis,4242,11.8,358.9
Weiach,1077,9.6,112.7
Weinfelden,10877,15.5,701.7
Weiningen(ZH),4362,5.4,813.8
Weisslingen,3211,12.8,250.7
Welschenrohr,1089,13.0,83.8
Wengi,605,7.1,85.6
Wenslingen,712,5.9,120.5
Werthenstein,2007,15.7,127.3
Wettingen,20211,10.6,1904.9
WettswilamAlbis,4646,3.8,1235.6
Wetzikon(ZH),23726,16.7,1416.5
Wichtrach,4072,11.6,351.3
Widen,3536,2.6,1354.8
Widnau,9116,4.2,2155.1
Wiedlisbach,2181,7.6,290.8
Wiesendangen,6042,19.1,315.3
Wiggiswil,96,1.4,67.1
Wigoltingen,2280,17.2,132.9
Wikon,1440,8.3,173.9
Wil(SG),23292,20.8,1119.8
Wil(ZH),1318,9.0,147.3
Wila,1919,9.2,208.8
Wilchingen,1713,21.2,81.1
Wildberg,985,10.6,93.3
Wilderswil,2549,13.5,188.3
Wildhaus-AltSt.Johann,2668,87.4,30.5
Wilen(TG),2259,2.3,995.2
Wiler(Lötschen),582,14.7,39.7
WilerbeiUtzenstorf,822,3.8,215.2
Wileroltigen,381,4.1,91.6
Wiliberg,169,1.2,144.4
Willadingen,211,2.2,97.7
Willisau,7554,41.2,183.8
Wimmis,2446,22.3,109.5
Windisch,6848,4.9,1394.7
Winkel,4196,8.1,516.7
Wintersingen,618,6.9,88.9
Winterthur,105676,68.1,1552.5
Winznau,1807,4.0,458.6
Wisen(SO),411,4.8,86.0
Wislikofen,337,3.7,89.9
Wittenbach,9588,12.3,785.3
Witterswil,1430,2.7,535.6
Wittinsburg,414,3.2,129.0
Wittnau,1211,11.3,107.6
Wölflinswil,981,9.5,103.2
Wohlen(AG),15192,12.4,1217.3
WohlenbeiBern,8948,36.2,246.6
Wohlenschwil,1473,4.4,335.5
Wolfenschiessen,2101,92.8,22.6
Wolfhalden,1727,7.0,248.5
Wolfisberg,181,2.4,74.2
Wolfwil,2040,6.9,296.5
Wolhusen,4237,14.3,296.3
Wollerau,7078,6.3,1123.5
Worb,11370,21.0,538.9
Worben,2259,2.8,806.8
Wünnewil-Flamatt,5380,13.2,406.7
Würenlingen,4302,9.4,458.6
Würenlos,5972,9.0,662.1
Wuppenau,1102,12.1,90.7
Wynau,1559,5.1,306.3
Wynigen,1997,28.2,70.6
Wyssachen,1154,11.8,98.6
Yens,1270,9.6,133.5
Yverdon-les-Bains,28894,13.6,2137.1
Yvonand,2911,13.4,217.4
Yvorne,1034,12.2,84.8
Zäziwil,1622,5.4,299.3
Zeglingen,468,7.9,59.2
Zeihen,1101,6.9,160.0
Zeiningen,2229,11.4,196.0
Zell(LU),2031,13.9,146.1
Zell(ZH),5638,13.0,434.7
Zeneggen,272,7.5,36.3
Zermatt,5751,242.7,23.7
Zernez,1153,203.9,5.7
Zetzwil,1307,5.8,225.3
Ziefen,1577,7.8,202.2
Zielebach,335,1.9,174.5
Zihlschlacht-Sitterdorf,2178,12.2,178.5
Zillis-Reischen,425,24.5,17.4
Zizers,3213,11.0,291.8
Zofingen,11087,11.1,999.7
Zollikofen,10041,5.4,1862.9
Zollikon,12324,7.9,1567.9
Zuchwil,8743,4.7,1888.3
Zürich,384786,87.9,4378.5
Zufikon,4338,4.8,901.9
Zug,27961,21.7,1293.9
Zullwil,626,3.6,172.0
Zumholz,417,1.9,220.6
Zumikon,5167,5.5,944.6
Zunzgen,2493,6.9,362.4
Zuoz,1214,65.6,18.5
Zuzgen,846,8.3,100.8
Zuzwil(BE),577,3.5,166.8
Zuzwil(SG),4741,9.0,529.1
Zweisimmen,2987,73.2,40.9
Zwieselberg,289,2.4,118.0
Zwingen,2194,4.6,474.9
Zwischbergen,86,86.1,1.0
Suisse,8139631,41285.0,203.5
