LIBMIN,PMUN13,SURFACE,DENSITE
Chavannes-des-Bois,823,2.2,384.6
Chavannes-le-Chêne,275,4.0,69.1
Chavannes-le-Veyron,129,2.7,49.0
Chavannes-près-Renens,7193,1.7,4359.4
Chavannes-sur-Moudon,238,5.2,46.3
Chavornay,3967,11.1,359.0
Cheiry,371,6.5,57.3
Chêne-Bougeries,10559,4.1,2556.7
Chêne-Bourg,8080,1.3,6312.5
Chêne-Pâquier,125,2.1,59.0
Chénens,705,4.0,178.5
Chermignon,3055,5.4,567.8
Chesalles-sur-Moudon,153,1.7,91.6
Cheseaux-Noréaz,667,6.1,110.6
Cheseaux-sur-Lausanne,4035,4.6,879.1
Chéserex,1227,10.6,116.2
Chésopelloz,132,1.7,81.5
Chessel,351,3.6,98.3
Chevilly,248,3.8,64.1
Chevroux,406,4.4,92.9
Chexbres,2101,2.2,981.8
Cheyres,1338,5.1,260.8
Chiasso,8074,5.3,1514.8
Chigny,338,0.9,375.6
Chippis,1660,2.0,838.4
Choulex,1056,3.9,270.1
Chur,34350,28.0,1222.9
Churwalden,2062,48.6,42.5
Clarmont,149,1.0,149.0
Claro,2753,21.2,129.7
Clavaleyres,49,1.0,48.5
ClosduDoubs,1301,61.8,21.1
Coeuve,700,11.6,60.2
Coinsins,398,2.9,136.8
Coldrerio,2750,2.5,1117.9
Collex-Bossy,1653,6.9,239.9
Collinad'Oro,4525,6.1,741.8
Collombey-Muraz,7982,29.8,267.8
Collonge-Bellerive,7570,6.1,1236.9
Collonges,674,12.2,55.2
Cologny,4981,3.7,1357.2
Comano,2061,2.0,1000.5
Commugny,2784,6.5,427.6
Concise,947,11.4,83.1
Confignon,4373,2.8,1578.7
ContersimPrättigau,223,18.4,12.1
Conthey,8195,85.1,96.4
Coppet,3081,1.9,1647.6
Corban,462,7.9,58.9
Corbeyrier,408,22.0,18.6
Corbières,776,9.6,80.8
Corcelles(BE),212,6.8,31.3
Corcelles-Cormondrèche,4681,4.9,963.2
Corcelles-le-Jorat,440,8.0,55.5
Corcelles-près-Concise,310,4.1,75.8
Corcelles-près-Payerne,2051,12.1,169.1
Corcelles-sur-Chavornay,340,5.5,62.0
Corgémont,1621,17.6,92.0
Corippo,12,7.7,1.6
Corminboeuf,2180,5.6,387.9
Cormoret,481,13.5,35.7
Cornaux,1585,4.7,335.8
Cornol,965,10.5,92.4
Corpataux-Magnedens,1264,4.5,289.2
Corseaux,2132,1.1,2011.3
Corserey,390,3.5,113.4
Corsier(GE),1981,2.8,723.0
Corsier-sur-Vevey,3338,6.7,494.5
Cortaillod,4702,3.7,1274.3
Cortébert,714,14.8,48.3
Cossonay,3534,8.2,426.3
Cottens(FR),1421,5.0,285.9
Cottens(VD),459,2.4,194.5
Courchapoix,411,6.4,64.3
Courchavon,296,6.3,47.8
Courgenay,2223,18.4,120.6
Courgevaux,1357,3.4,403.9
Courlevon,312,3.3,95.7
Courrendlin,2722,11.0,245.7
Courroux,3149,19.7,159.5
Court,1432,24.6,58.2
Courtedoux,748,8.2,91.0
Courtelary,1290,22.1,58.2
Courtepin,3606,4.1,888.2
Courtételle,2501,13.6,184.3
Crans-près-Céligny,2147,4.3,497.0
Crassier,1128,2.0,555.7
Cremin,54,1.7,32.7
Crémines,539,9.5,56.8
Cresciano,663,17.2,38.5
Cressier(FR),848,4.2,203.4
Cressier(NE),1930,8.6,225.7
Crésuz,305,1.8,171.3
Crissier,7526,5.5,1365.9
Croglio,883,4.4,201.6
Cronay,351,6.6,53.3
Croy,319,4.5,71.2
Cuarnens,409,7.1,57.3
Cuarny,195,4.6,42.7
Cudrefin,1431,15.9,90.5
Cugnasco-Gerra,2898,35.8,81.1
Cugy(FR),1510,9.9,153.1
Cugy(VD),2703,2.9,932.1
Cunter,248,7.1,34.8
Cureglia,1299,1.1,1225.5
Curio,544,2.9,188.9
Curtilles,309,5.0,62.4
Dachsen,1984,2.7,732.1
Dägerlen,977,8.0,122.7
Dällikon,3768,4.5,837.3
Däniken,2785,5.4,514.8
Dänikon,1955,2.8,681.2
Därligen,415,6.9,60.1
Därstetten,840,32.8,25.6
Dättlikon,756,2.9,261.6
Dagmersellen,5095,23.9,213.2
Daillens,916,5.5,165.9
Dallenwil,1796,15.5,116.1
Dalpe,192,14.5,13.2
Damphreux,179,5.7,31.6
Dardagny,1510,8.6,175.6
Davos,11211,284.0,39.5
Degersheim,3973,14.4,274.8
DeisswilbeiMünchenbuchsee,84,2.1,39.1
Deitingen,2258,7.6,295.5
Delémont,12186,22.0,554.2
Delley-Portalban,1016,7.3,139.9
Démoret,121,4.3,28.3
Denens,673,3.3,204.6
Denges,1621,1.7,976.5
Densbüren,683,12.6,54.6
Derendingen,6096,5.6,1084.7
Develier,1421,12.5,114.0
Diegten,1607,9.7,166.7
Dielsdorf,5888,5.9,1004.8
Diemerswil,188,2.8,65.7
Diemtigen,2154,130.0,16.6
Diepflingen,690,1.4,479.2
Diepoldsau,6066,11.2,541.6
