NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,LIBMIN,PMUN16,AREA,DENSITE,SURFACE,LAT,LONG
LU000,11,1105,No change,Junglinster,7261,55380000,131.11,55.38,49.7117373,6.2519177
LU000,11,1106,No change,Manternach,1916,27680000,69.22,27.68,49.7072386,6.4236274
LU000,11,1107,No change,Mertert,4364,15250000,286.16,15.25,49.7003465,6.4812308
LU000,11,1108,No change,Wormeldange,2685,17250000,155.65,17.25,49.6119092,6.3983215
LU000,12,1201,No change,Bous,1518,15430000,98.38,15.43,49.5556958,6.3311234
LU000,12,1202,No change,Dalheim,2045,18980000,107.74,18.98,49.5432964,6.2592461
LU000,12,1203,No change,Lenningen,1800,20350000,88.45,20.35,49.6007838,6.3672525
LU000,12,1204,No change,Mondorf-les-Bains,4800,13660000,351.39,13.66,49.5078241,6.2801403
LU000,12,1205,No change,Remich,3482,5290000,658.22,5.29,49.545017,6.3674222
LU000,12,1206,No change,Schengen,4615,31420000,146.88,31.42,49.4709461,6.365046
LU000,12,1207,No change,Stadtbredimus,1794,10170000,176.40,10.17,49.5640943,6.3627103
LU000,12,1208,No change,Waldbredimus,929,12570000,73.91,12.57,49.5571499,6.2877331
